"country_code","country","unit_code","unit","financing_code","financing_scheme","year","value"
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,2.031
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,1.967
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,1.888
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,1.89
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,1.931
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,7.785
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,7.775
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,7.588
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,7.63
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,7.811
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,9.991
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,9.888
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,8.844
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,8.739
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,8.975
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,9.235
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2015,9.896
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2016,9.837
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2017,9.677
